"","PointID","lon","lat","X5.0","X10.0","X15.0","X20.0","X25.0","X30.0","X35.0","X40.0","X45.0","X50.0","X55.0","X60.0","X65.0","X70.0","X75.0","X80.0","X85.0","X90.0","X95.0","X100.0","X105.0","X110.0","X115.0","X120.0","X125.0","X130.0","X135.0","X140.0","X145.0","X150.0","X155.0","X160.0","X165.0","X170.0","X175.0","X180.0","X185.0","X190.0","X195.0","X200.0","X205.0","X210.0","X215.0","X220.0","X225.0","X230.0","X235.0","X240.0","X245.0","X250.0","X255.0","X260.0","X265.0","X270.0","X275.0","X280.0","X285.0","X290.0","X295.0","X300.0","X305.0","X310.0","X315.0","X320.0","X325.0","X330.0","X335.0","X340.0","X345.0","X350.0","X355.0","X360.0","optional"
"1",98413,630768,887336.4,1,1,1,2,2,2,3,4,8,13,24,102061,104855,105631,108463,120202,125139,154948,143839,150916,160374,193115,216417,230093,271547,338714,324656,316705,Inf,Inf,Inf,77055,49286,22773,7008,6872,14443,15400,18270,19101,11108,10988,14380,13443,13359,13762,17025,12567,12537,18321,970,869,869,956,962,932,890,5,4,3,2,2,2,2,1,1,1,1,1,1,1,1,TRUE
"2",98414,630758.8,887339.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,193125,216426,230104,271560,338722,324662,316714,Inf,Inf,Inf,77056,49288,22787,7009,14561,14431,15406,18320,19103,11109,10992,14368,13437,13353,13762,17028,12542,12534,18318,959,860,863,947,952,920,880,1193,1229,702,498,488,866,841,737,3,3,2,2,2,1,1,TRUE
"3",98415,630755.4,887347.8,346,1101,1053,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,7016,14566,14433,15417,18575,19112,11116,11003,14370,13439,13356,13771,17037,12522,12538,18335,955,834,867,945,948,910,882,1193,1218,689,482,481,858,830,727,153,158,102,99,98,100,215,TRUE
"4",98416,630758.8,887356.9,338,1091,1045,1075,532,1088,1125,129216,90173,1249,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,6,11126,11014,14379,13447,13365,13782,17049,12524,12548,18354,958,836,880,949,953,904,904,1200,1209,683,474,482,854,817,180,145,101,91,91,90,96,207,TRUE
"5",98417,630766,887363.6,334,1078,979,1069,524,1081,1116,129206,90163,1239,98894,101937,1300,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,7,13792,17059,12532,12558,18369,966,844,894,956,961,897,922,1214,1206,686,477,491,849,807,141,95,88,86,84,90,198,210,TRUE
"6",98418,630774.9,887367.8,333,1051,967,1062,520,1078,1107,129197,90156,1233,98884,101927,1290,104948,1649,120186,125169,11,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,12568,18380,879,854,909,964,970,899,939,1229,938,691,483,734,839,146,89,88,85,84,91,195,196,286,TRUE
"7",98419,630784.8,887368.7,342,1044,967,1055,522,1083,1101,129190,90151,1256,98875,101916,104782,104939,1640,120176,125159,154922,143892,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,5,864,918,974,979,907,954,1242,950,698,490,850,840,94,92,88,88,95,197,196,209,324,TRUE
"8",98420,630794.1,887366.7,1055,1050,972,506,998,1089,1101,129186,1108,1275,98867,101907,104781,105552,1632,120166,125149,154913,143883,150862,160337,193086,216106,230028,271427,341673,324678,316698,Inf,Inf,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,1253,960,707,500,862,159,101,95,94,100,202,201,200,283,329,TRUE
"9",98421,630796.4,887357.9,1062,1060,980,512,1005,1063,1111,129193,1105,97921,98869,101918,104799,105565,1633,120166,125139,154915,143884,150868,160336,193078,216103,230032,271480,341667,324668,316691,Inf,Inf,Inf,77231,49309,22771,7020,6839,14692,15406,18188,19125,11136,11011,14427,13488,5,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,7,292,339,TRUE
"10",98422,630790.1,887350.4,1,1,1,2,2,2,2,129203,1114,97929,98878,101931,104826,105584,1643,120175,125134,154921,143834,150880,160344,193085,216123,230042,271505,338814,324662,316693,Inf,Inf,Inf,77180,49303,22768,7015,6834,14512,15402,18200,19117,11127,11002,14416,13478,13385,13786,17049,24,14,6,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
