"Station","DateTime","Direction","Speed","Long","Lat"
"Cumshewa",2012-01-01 00:00:01,150,80,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:02,150,76,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:03,150,70,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:04,150,80,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:05,150,74,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:06,160,82,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:07,150,76,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:08,150,72,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:09,150,78,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:10,150,78,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:11,150,76,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:12,150,82,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:13,150,95,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:14,150,98,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:15,150,87,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:16,150,87,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:17,150,85,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:18,150,80,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:19,160,72,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:20,190,32,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:21,170,33,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:22,170,33,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:23,190,35,"-131.6","53.03"
"Cumshewa",2012-01-01 00:00:24,200,30,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:01,200,28,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:02,230,11,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:03,210,24,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:04,200,26,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:05,180,20,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:06,250,17,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:07,230,13,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:08,260,9,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:09,330,4,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:10,270,7,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:11,70,7,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:12,260,22,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:13,260,20,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:14,360,19,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:15,350,15,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:16,350,17,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:17,350,15,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:18,340,11,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:19,330,7,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:20,290,7,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:21,260,6,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:22,260,9,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:23,240,4,"-131.6","53.03"
"Cumshewa",2012-01-02 00:00:24,160,17,"-131.6","53.03"
"Cumshewa",2012-01-03 00:00:01,170,28,"-131.6","53.03"
"Cumshewa",2012-01-03 00:00:02,150,33,"-131.6","53.03"
"Cumshewa",2012-01-03 00:00:03,150,44,"-131.6","53.03"
"Cumshewa",2012-01-03 00:00:04,150,65,"-131.6","53.03"
